時間 (s),位移 (in),速度 (in/s),加速度 (in/s²),彈簧力 (k)
1.3200,0.1661,5.1962,-117.9778,104.9183
1.3250,0.1905,4.5717,-131.8330,120.3431
1.3300,0.2117,3.8835,-143.4551,133.6949
1.3350,0.2292,3.1431,-152.6902,144.7907
1.3400,0.2430,2.3628,-159.4237,153.4853
1.3450,0.2528,1.5553,-163.5815,159.6726
1.3500,0.2585,0.7335,-165.1305,163.2870
1.3550,0.2601,-0.0895,-164.0791,164.3040
1.3600,0.2576,-0.9009,-160.4760,162.7401
1.3650,0.2512,-1.6881,-154.4092,158.6518
1.3700,0.2409,-2.4391,-146.0043,152.1345
1.3750,0.2269,-3.1427,-135.4217,143.3201
1.3800,0.2096,-3.7884,-122.8539,132.3751
1.3850,0.1892,-4.3668,-108.5221,119.4970
1.3900,0.1661,-4.8698,-92.6722,104.9113
1.3950,0.1407,-5.2904,-75.5708,88.8670
1.4000,0.1134,-5.6231,-57.5010,71.6333
1.4050,0.0847,-5.8637,-38.7570,53.4942
1.4100,0.0550,-6.0097,-19.6405,34.7445
1.4150,0.0248,-6.0600,-0.4547,15.6849
1.4200,-0.0054,-6.0148,18.4996,-3.3827
1.4250,-0.0351,-5.8763,36.9289,-22.1603
1.4300,-0.0639,-5.6476,54.5517,-40.3579
1.4350,-0.0913,-5.3334,71.1026,-57.6983
1.4400,-0.1170,-4.9398,86.3362,-73.9211
1.4450,-0.1406,-4.4739,100.0308,-88.7866
1.4500,-0.1616,-3.9439,111.9913,-102.0794
1.4550,-0.1799,-3.3588,122.0526,-113.6111
1.4600,-0.1951,-2.7284,130.0808,-123.2236
1.4650,-0.2071,-2.0633,135.9759,-130.7903
1.4700,-0.2157,-1.3742,139.6721,-136.2184
1.4750,-0.2208,-0.6721,141.1391,-139.4498
1.4800,-0.2224,0.0317,140.3816,-140.4612
1.4850,-0.2205,0.7262,137.4392,-139.2644
1.4900,-0.2152,1.4008,132.3851,-135.9056
1.4950,-0.2065,2.0451,125.3245,-130.4642
1.5000,-0.1948,2.6493,116.3927,-123.0512
1.5050,-0.1802,3.2047,105.7526,-113.8069
1.5100,-0.1629,3.7031,93.5919,-102.8987
1.5150,-0.1433,4.1373,80.1194,-90.5177
1.5200,-0.1217,4.5016,65.5622,-76.8758
1.5250,-0.0985,4.7909,50.1612,-62.2019
1.5300,-0.0740,5.0017,34.1677,-46.7383
1.5350,-0.0487,5.1317,17.8391,-30.7364
1.5400,-0.0229,5.1799,1.4347,-14.4531
1.5450,0.0029,5.1465,-14.7880,1.8535
1.5500,0.0284,5.0331,-30.5778,17.9284
1.5550,0.0531,4.8424,-45.6933,33.5230
1.5600,0.0766,4.5784,-59.9064,48.3996
1.5650,0.0987,4.2461,-73.0063,62.3347
1.5700,0.1189,3.8516,-84.8021,75.1220
1.5750,0.1371,3.4018,-95.1256,86.5760
1.5800,0.1528,2.9044,-103.8338,96.5343
1.5850,0.1660,2.3678,-110.8105,104.8597
1.5900,0.1764,1.8008,-115.9684,111.4424
1.5950,0.1840,1.2128,-119.2493,116.2013
1.6000,0.1885,0.6131,-120.6255,119.0846
1.6050,0.1901,0.0113,-120.0989,120.0706
1.6100,0.1887,-0.5832,-117.7017,119.1674
1.6150,0.1843,-1.1612,-113.4944,116.4128
1.6200,0.1771,-1.7139,-107.5653,111.8727
1.6250,0.1672,-2.2328,-100.0287,105.6404
1.6300,0.1549,-2.7105,-91.0222,97.8343
1.6350,0.1403,-3.1398,-80.7049,88.5960
1.6400,0.1236,-3.5147,-69.2544,78.0878
1.6450,0.1053,-3.8300,-56.8639,66.4896
1.6500,0.0855,-4.0815,-43.7386,53.9964
1.6550,0.0646,-4.2661,-30.0929,40.8146
1.6600,0.0430,-4.3817,-16.1465,27.1588
1.6650,0.0210,-4.4273,-2.1212,13.2483
1.6700,-0.0011,-4.4032,11.7627,-0.6963
1.6750,-0.0229,-4.3106,25.2901,-14.4565
1.6800,-0.0440,-4.1517,38.2540,-27.8195
1.6850,-0.0642,-3.9300,50.4586,-40.5815
1.6900,-0.0832,-3.6495,61.7226,-52.5504
1.6950,-0.1006,-3.3155,71.8817,-63.5490
1.7000,-0.1162,-2.9338,80.7909,-73.4175
1.7050,-0.1298,-2.5110,88.3264,-82.0155
1.7100,-0.1413,-2.0542,94.3874,-89.2246
1.7150,-0.1503,-1.5710,98.8977,-94.9493
1.7200,-0.1569,-1.0693,101.8060,-99.1186
1.7250,-0.1610,-0.5570,103.0867,-101.6868
1.7300,-0.1625,-0.0425,102.7401,-102.6334
1.7350,-0.1614,0.4664,100.7919,-101.9640
1.7400,-0.1579,0.9616,97.2924,-99.7091
1.7450,-0.1519,1.4356,92.3156,-95.9236
1.7500,-0.1436,1.8813,85.9577,-90.6859
1.7550,-0.1331,2.2920,78.3353,-84.0957
1.7600,-0.1208,2.6618,69.5831,-76.2730
1.7650,-0.1066,2.9854,59.8522,-67.3553
1.7700,-0.0910,3.2583,49.3068,-57.4957
1.7750,-0.0742,3.4769,38.1218,-46.8601
1.7800,-0.0564,3.6384,26.4800,-35.6242
1.7850,-0.0380,3.7410,14.5691,-23.9713
1.7900,-0.0191,3.7839,2.5787,-12.0886
1.7950,-0.0003,3.7671,-9.3029,-0.1647
1.8000,0.0184,3.6916,-20.8913,11.6134
1.8050,0.0365,3.5593,-32.0090,23.0635
1.8100,0.0538,3.3731,-42.4880,34.0106
1.8150,0.0701,3.1364,-52.1726,44.2899
1.8200,0.0851,2.8537,-60.9211,53.7491
1.8250,0.0986,2.5299,-68.6086,62.2504
1.8300,0.1103,2.1705,-75.1280,69.6729
1.8350,0.1202,1.7817,-80.3919,75.9140
1.8400,0.1281,1.3699,-84.3338,80.8908
1.8450,0.1338,0.9418,-86.9083,84.5413
1.8500,0.1375,0.5043,-88.0923,86.8249
1.8550,0.1389,0.0644,-87.8847,87.7229
1.8600,0.1381,-0.3711,-86.3058,87.2385
1.8650,0.1352,-0.7954,-83.3975,85.3965
1.8700,0.1302,-1.2019,-79.2218,82.2425
1.8750,0.1232,-1.5846,-73.8596,77.8422
1.8800,0.1144,-1.9378,-67.4097,72.2799
1.8850,0.1039,-2.2563,-59.9862,65.6569
1.8900,0.0920,-2.5355,-51.7175,58.0900
1.8950,0.0787,-2.7717,-42.7432,49.7092
1.9000,0.0644,-2.9616,-33.2124,40.6556
1.9050,0.0492,-3.1028,-23.2809,31.0792
1.9100,0.0335,-3.1938,-13.1092,21.1360
1.9150,0.0174,-3.2337,-2.8590,10.9862
1.9200,0.0013,-3.2226,7.3084,0.7909
1.9250,-0.0147,-3.1612,17.2350,-9.2900
1.9300,-0.0302,-3.0512,26.7688,-19.1002
1.9350,-0.0451,-2.8949,35.7655,-28.4899
1.9400,-0.0591,-2.6952,44.0913,-37.3174
1.9450,-0.0720,-2.4560,51.6243,-45.4518
1.9500,-0.0836,-2.1813,58.2566,-52.7745
1.9550,-0.0937,-1.8759,63.8958,-59.1813
1.9600,-0.1022,-1.5450,68.4661,-64.5832
1.9650,-0.1091,-1.1940,71.9093,-68.9084
1.9700,-0.1141,-0.8288,74.1857,-72.1027
1.9750,-0.1174,-0.4551,75.2741,-74.1302
1.9800,-0.1187,-0.0790,75.1723,-74.9737
1.9850,-0.1182,0.2936,73.8968,-74.6348
1.9900,-0.1158,0.6571,71.4820,-73.1335
1.9950,-0.1116,1.0057,67.9799,-70.5076
2.0000,-0.1058,1.3343,63.4588,-66.8123
