Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
24.38,0.01980653715,0.06335455932340066,-0.03518424570967447,-0.07844296491222036,-0.15349372855005997,0.29523823898120455,0.05961349226882284,-0.09013916922665931,-0.018829472643397516
24.39,0.02052054819,0.06299879093772713,-0.03596943142503097,-0.07859417815908099,-0.15053842772774323,0.2958219254821427,0.05712380791881422,-0.0875396367900161,-0.021470370240266767
24.4,0.008346471606000001,0.06263548543363631,-0.036691669393132814,-0.06585341546128742,-0.1475774141996036,0.2963807801457829,0.05464712480922096,-0.08494192876596729,-0.011206290652066464
24.41,-0.01655334495,0.06226591266211089,-0.03722288491195228,-0.04038968830260525,-0.1446109348226565,0.2969150952436384,0.05221589476187283,-0.08234502216054561,0.011826206459267574
24.42,-0.05228974269,0.06189257158373881,-0.0374453307624635,-0.0040994817996385935,-0.14163923195422634,0.29742547844239237,0.04986074498891846,-0.07974666037048753,0.045761263189279866
24.43,-0.07909514586,0.06151859694871362,-0.03734959624257337,0.02324638577766447,-0.13866254100139788,0.2979127121232994,0.04758599119249218,-0.07714394405268427,0.07083237697015665
24.44,-0.08520533379000002,0.06114642934223462,-0.037083925053227745,0.02988785209146083,-0.1356810903126529,0.29837742562569547,0.045356709286720975,-0.07453466097041829,0.0752445613781818
24.45,-0.08226441351000001,0.06077702415161297,-0.03679711307110159,0.027474544333770834,-0.13269510371471482,0.2988198939619214,0.043136957958453404,-0.07191807956310185,0.07061150229222424
24.46,-0.07180402032,0.06041017843021891,-0.03657203120771044,0.017541828344459165,-0.12970480369252127,0.2992401104767894,0.04090634501514423,-0.06929462526230236,0.058448173359603395
24.47,-0.059255607870000004,0.06004503476335275,-0.036456702165521125,0.00552398009340227,-0.12671041361226154,0.29963790557515646,0.03865267465826683,-0.06666537884890879,0.0441766547516691
24.48,-0.04919356935,0.059680505747982324,-0.03644910090856476,-0.004003728702130727,-0.12371215884109608,0.3000130486579349,0.03637594189741755,-0.06403165309311376,0.032372213195286825
24.49,-0.035390889540000005,0.05931548296914256,-0.03655545485938785,-0.01726706146248691,-0.12071026710346891,0.30036529886749996,0.03407410001560229,-0.06139478413432635,0.016807038553115383
24.5,-0.01883128581,0.05894866475027422,-0.036808188914279755,-0.033279749515895074,-0.11770496879878076,0.30069436207013067,0.0317385405105447,-0.058756304048506534,-0.0015412090053503746
24.51,-0.007138583964,0.058578640438190166,-0.03719667350253156,-0.0444171681344655,-0.11469649743466123,0.30099991075377436,0.02937119621819384,-0.056117856996471066,-0.015045971916271661
24.52,0.008164797273,0.058204084374123714,-0.03771453931075877,-0.05915599351097722,-0.11168508972210024,0.30128163175842365,0.026973004711663084,-0.05348100534797653,-0.03218298879931414
24.53,0.027519639840000002,0.057823511730074564,-0.038399989499071224,-0.07793404415151339,-0.10867098573345216,0.3015391659711932,0.0245338378422425,-0.050847474003377593,-0.05340020630927089
24.54,0.046018268550000005,0.05743516744899458,-0.03926886671692567,-0.09584139941937597,-0.10565442950482248,0.30177207975474174,0.022048918867468292,-0.048219262055827904,-0.07379248055190768
24.55,0.0699867963,0.05703710271061259,-0.04034408095947254,-0.11920144908999741,-0.10263566969375786,0.30197988245818386,0.019511621820954228,-0.04559856698314527,-0.09968982726904319
24.56,0.0968481459,0.05662704603232152,-0.04166725469874109,-0.14543329876371136,-0.09961496031541019,0.30216199321134996,0.016910528812260073,-0.042987914283088666,-0.1285227699514513
24.57,0.1152882972,0.05620265710197845,-0.04321053136987314,-0.16322203546270042,-0.09659256133765069,0.3023178023405489,0.014251297027528476,-0.04038990423567224,-0.14897073843517195
24.58,0.12151078020000002,0.0557622518840379,-0.044870512218237325,-0.16877413421013732,-0.09356873806736096,0.3024468517173971,0.011558578342117376,-0.037806486183323065,-0.15721555586801994
24.59,0.1203136659,0.055305155125919304,-0.046548839405481233,-0.16689130323864443,-0.09054375917619237,0.3025489265163218,0.0088563814428263,-0.03523860405027306,-0.15803492179581813
24.6,0.10586530170000001,0.05483170078287478,-0.04814202920342306,-0.15174665634972062,-0.08751789423717977,0.3026240612861968,0.006170572532169349,-0.03268619345430499,-0.14557608381755127
24.61,0.06709646619000001,0.054343679807467286,-0.049462165878076246,-0.11228067858091773,-0.08449141064339888,0.3026726574699824,0.003548664224951703,-0.030147730835931592,-0.10873201435596602
24.62,0.006421058982,0.05384497811380973,-0.05027817285343559,-0.050920716490951645,-0.08146456910151037,0.3026956509077193,0.0010500233224340905,-0.027619590987700643,-0.049870693168517555
24.63,-0.06752223981,0.05334151540869467,-0.05041436816957635,0.02368165326280025,-0.07843761830286164,0.3026945088220268,-0.0012784404609355038,-0.02509610289416697,0.022403212801864747
24.64,-0.1380282696,0.05284033408869419,-0.04982189583051982,0.09481281454850599,-0.07541079068580753,0.30267101458879564,-0.003420406185299707,-0.02257045659711334,0.09139240836320628
