Time (s),Ground Accel (m/s²),Floor Disp (m),Floor Vel (m/s),Floor Accel (m/s²),Damper Rel Disp (m),Damper Rel Vel (m/s),Damper Rel Accel (m/s²),Damper Abs Disp (m),Damper Abs Accel (m/s²)
7.25,0.6930130293,-0.05488512624392812,-0.030629013413395238,-0.639578408924744,0.008797684122298236,-0.02841366597441485,-0.03340033902414041,-0.046087442121629886,-0.6729787479488845
7.26,0.5782069917,-0.05522050705846759,-0.03644714949449813,-0.5240488072958334,0.008511835627010262,-0.028756033083179915,-0.03507308272887344,-0.04670867143145732,-0.5591218900247068
7.27,0.5469436008,-0.05561038151362261,-0.041527741536506506,-0.4920696011058423,0.008222484833370389,-0.02911412564479474,-0.036545429594091905,-0.04738789668025222,-0.5286150306999342
7.28,0.6489420948000001,-0.056052792588648453,-0.046954473468662175,-0.5932767853252914,0.007929476380833664,-0.029487564862550098,-0.038142413956979704,-0.04812331620781479,-0.6314191992822711
7.29,0.9334314081,-0.05655908836722414,-0.05430468224647522,-0.8767649702373168,0.007632638591921974,-0.02987999291978802,-0.040343197490605,-0.04892644977530217,-0.9171081677279218
7.3,1.358834112,-0.05715657443246685,-0.06519253080206644,-1.300804740880925,0.00733173896470716,-0.030299932523174825,-0.04364472318675561,-0.04982483546775969,-1.3444494640676805
7.31,1.784281059,-0.05788413075849526,-0.08031873440361553,-1.7244359794288924,0.007026441672702899,-0.030759525877677288,-0.04827394771373661,-0.05085768908579236,-1.772709927142629
7.32,2.047530447,-0.05878006513908593,-0.0988681417145187,-1.9854454827517403,0.00671628952886724,-0.03127090288945448,-0.05400145464170181,-0.05206377561021869,-2.039446937393442
7.33,2.066300901,-0.05986842493405321,-0.11880381727893798,-2.001689630132115,0.006400724859931783,-0.031842030897636986,-0.06022414699479994,-0.05346770007412143,-2.0619137771269154
7.34,1.872285588,-0.0611516313255803,-0.13783746102647876,-1.8050391193760378,0.006079142594511244,-0.032474422186470765,-0.06625411077195609,-0.055072488731069055,-1.8712932301479939
7.35,1.574310762,-0.06261274342329491,-0.1543849585164442,-1.5044603786170496,0.005750951842598115,-0.03316372819615501,-0.07160709116489428,-0.0568617915806968,-1.576067469781944
7.36,1.3088089980000002,-0.06422511548736486,-0.16808945429754474,-1.2364387776030528,0.005415620283841026,-0.03390258355526289,-0.0761639806566825,-0.05880949520352383,-1.3126027582597353
7.37,1.175874669,-0.06596444666078233,-0.1797767803859496,-1.101026440077919,0.005072686285660174,-0.0346842160809074,-0.08016252447221972,-0.06089176037512215,-1.1811889645501388
7.38,1.188764028,-0.06781752469175051,-0.19083882580768652,-1.111382644269466,0.00472173967415843,-0.03550510621944153,-0.08401550323460527,-0.06309578501759208,-1.1953981475040714
7.39,1.3018860810000001,-0.06978424301711778,-0.2025048392657669,-1.2218200473466139,0.004362385915926977,-0.036365645426848905,-0.0880923382468699,-0.06542185710119079,-1.3099123855934838
7.4,1.447051518,-0.07187393913529573,-0.21543438436982418,-1.3640889734648427,0.0039942122767744215,-0.03726908240366225,-0.09259505711579963,-0.06787972685852131,-1.4566840305806423
7.41,1.558567674,-0.0740991973527502,-0.22961725912106884,-1.472485976784088,0.003616768437715409,-0.03821968540814029,-0.09752554377980771,-0.07048242891503478,-1.5700115205638958
7.42,1.588252734,-0.0764696537406992,-0.24447401846873099,-1.4988658927483387,0.0032295656161741492,-0.03922087890011164,-0.10271315461446151,-0.07324008812452505,-1.6015790473628002
7.43,1.496847078,-0.07898696675838095,-0.2589885850676194,-1.4040474270293428,0.0028320926858771667,-0.04027370715928487,-0.1078524972201842,-0.07615487407250378,-1.511899924249527
7.44,1.29897153,-0.08164202252747006,-0.2720225687502037,-1.2027493094875128,0.0024238443810927625,-0.04137595379759598,-0.11259683044203883,-0.0792181781463773,-1.3153461399295516
7.45,1.097712513,-0.08441726988288772,-0.2830269023333287,-0.9981174071374879,0.002004350593282269,-0.042522803764502695,-0.11677316293930473,-0.08241291928960545,-1.1148905700767926
7.46,0.9673384959000001,-0.08729410211531241,-0.29233954415160857,-0.8644109565184808,0.001573191352779775,-0.043709044335996095,-0.12047495135937525,-0.08572091076253263,-0.984885907877856
7.47,0.8778140055000001,-0.09025839692424326,-0.30051941763456047,-0.7715637400719002,0.001129992433883325,-0.04493073944329395,-0.12386407010019496,-0.08912840449035993,-0.8954278101720952
7.48,0.7676407404000001,-0.09329933218391259,-0.3076676342993068,-0.6580795928773684,0.0006744142851592003,-0.04618489030153097,-0.12696610154720944,-0.09262491789875339,-0.7850456944245778
7.49,0.5920204527,-0.09640444065750971,-0.3133540604201162,-0.4792056312845032,0.000206150075893754,-0.04746795155155829,-0.1296461484582545,-0.09619829058161596,-0.6088517797427577
7.5,0.3224688264,-0.09955512483481788,-0.31678277504151764,-0.2065372929957734,-0.00027506201134720705,-0.048774465896633916,-0.13165672055687083,-0.09983018684616508,-0.3381940135526442
7.51,-0.04519431684,-0.102724015893004,-0.3169954365957083,0.16400498215764703,-0.0007694155337364825,-0.050096238581221156,-0.13269781636057743,-0.10349343142674049,0.0313071657970696
7.52,-0.4860725508,-0.10587468453474295,-0.31313829175208147,0.6074239865677127,-0.0012770077937298131,-0.051422213417444976,-0.13249715088418612,-0.10715169232847277,0.47492683568352656
7.53,-0.9490322511,-0.10896406912484079,-0.30473862626748505,1.0725091103515725,-0.0017978147159688571,-0.05273917103036381,-0.13089437169958074,-0.11076188384080965,0.9416147386519917
