route_id,route_name
0100000A00,0東
0100000B00,0南
0161000200,仁愛幹線
0161000100,內湖幹線
0100062000,北環幹線
0161000300,民生幹線
0161001300,民權幹線
0161000700,和平幹線
0161001100,忠孝幹線
0161000900,承德幹線
0113001600,東環幹線
0161000400,松江新生幹線
0161001200,信義幹線
0161001400,南京幹線
0113000100,南環幹線
0161001000,重慶幹線
0161001500,基隆路幹線
0161000800,復興幹線
0161000500,敦化幹線
0463003900,湯泉-大坪林-湯泉
0152005400,雙園巴士
0161001600,羅斯福路幹線
0410098500,985萬大樹林先導公車
0410000200,藍海2線先導公車
0111000200,紅2
0111000300,紅3
0111000320,紅3區
0111000500,紅5
0111000700,紅7
0111000720,紅7區
0111000900,紅9
0111001000,紅10
0111001020,紅10區
0111001200,紅12
0411001300,紅13
0111001500,紅15
0111001900,紅19
0411002200,紅22
0411002300,紅23
0111002500,紅25
0111002520,紅25區
0411002600,紅26
0411002700,紅27
0411002800,紅28
0411002830,紅28直
0111002900,紅29
0111003000,紅30
0111003100,紅31
0111003300,紅33
0111003500,紅35
0111003520,紅35區
0411003600,紅36
0411003700,紅37
0411003790,紅37行經海洋都心社區
0411003800,紅38
0411003900,紅39
0111005000,紅50
0411005100,紅51
0411005300,紅53
0111005500,紅55
0111005520,紅55區
0111005700,紅57
0111006800,紅68
0412000100,藍1
0412000200,藍2
0112000500,藍5
0112000700,藍7
0112000710,藍7副
0112001000,藍10
0412001500,藍15
0412001700,藍17
0412001800,藍18
0112002020,藍20區
0412002100,藍21
0412002110,藍21副
0412002200,藍22
0412002300,藍23
0112002500,藍25
0112002600,藍26
0112002700,藍27
0112002800,藍28
0112002900,藍29
0412003100,藍31
0412003200,藍32
0412003300,藍33
0412003500,藍35
0112003600,藍36
0412003700,藍37
0412003800,藍38
0412003900,藍39
0412004000,藍40
0412004100,藍41
0412004170,藍41延和
0412004300,藍43
0412004370,藍43延南天母
0412004400,藍44
0412004470,藍44延
0412004500,藍45
0412004600,藍46
0112005000,藍50
0112005100,藍51
0413000200,綠2右
0413000270,綠2左
0413000300,綠3
0413000500,綠5
0413000600,綠6
0413000700,綠7
0413000800,綠8
0413000900,綠9
0413000990,綠9耕莘
0413000970,綠9北新國小
0413001000,綠10
0113001100,綠11
0413001200,綠12
0413001300,綠13
0413001500,綠15
0113001700,綠17
0114000100,棕1
0114000200,棕2
0114000300,棕3
0114000500,棕5
0114000600,棕6
0414000700,棕7
0414000790,棕7建業路
0414000770,棕7綠野香坡
0114001000,棕10
0114001100,棕11
0114001110,棕11副
0114001200,棕12
0114001300,棕13
0114001500,棕15
0114001800,棕18
0114001900,棕19
0114002000,棕20
0114002100,棕21
0114002200,棕22
0415000100,橘1
0415000200,橘2
0415000300,橘3
0415000500,橘5
0415000900,橘9
0415001000,橘10
0415001200,橘12
0415001300,橘13
0415001700,橘17
0415001800,橘18
0415001870,橘18福隆路
0415001900,橘19
0415001910,橘19副
0415002000,橘20
0415002100,橘21
0415002200,橘22
0415002500,橘25
0415002600,橘26
0421000100,安坑1線
0421000200,安坑2線
0421000300,安坑3線
0421000500,安坑5線
0421000600,安坑6線
0151000100,小1
0151000120,小1區
0151000200,小2
0151000220,小2區
0151000300,小3
0151000500,小5
0151000520,小5區
0151000600,小6
0151000700,小7
0151000800,小8
0151000820,小8區
0151000900,小9(台灣好行-北投竹子湖)
0151000920,小9區
0151001000,小10
0151001020,小10區
0151001100,小11
0151001200,小12
0151001400,小14
0151001500,小15
0151001520,小15區
0151001600,小16
0151001700,小17
0151001800,小18
0151001900,小19
0151002100,小21
0151002200,小22
0151002300,小23
0151002500,小25
0151002600,小26
0151002800,小28
0151003000,小30
0151003600,小36
0151003900,小39
